                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.4962,                0.62439,                0.95879,                0.99552,                0.83333,                 0.8435,                 0.4962,                 1.4155,                0.80366,                0.97748,               0.000911,               0.000911,               0.000911
                     58,                 1.3724,                0.57589,                0.94491,                0.99865,                0.83333,                0.84512,                 0.5216,                 1.3469,                0.80724,                0.96001,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3974,                0.59667,                0.95981,                      1,                0.82704,                0.84529,                0.53957,                  1.319,                0.79858,                0.95061,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.4275,                0.57834,                 0.9564,                 0.9846,                0.72222,                0.82387,                0.52438,                 1.2908,                0.72339,                0.94678,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.3135,                0.53649,                0.96382,                0.98056,                0.72222,                 0.8136,                0.51484,                 1.2621,                 0.6831,                0.94599,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3955,                  0.555,                0.93648,                  0.988,                0.72222,                0.77807,                0.50681,                 1.2398,                0.59727,                0.95426,               0.000812,               0.000812,               0.000812
                     63,                 1.3453,                0.56754,                0.96245,                0.99063,                0.72222,                0.78083,                0.48242,                 1.2965,                0.59381,                0.96095,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.3315,                0.59567,                0.96633,                      1,                 0.7699,                0.84162,                0.50979,                  1.327,                0.61341,                 0.9604,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.3417,                0.53381,                0.93508,                      1,                0.77534,                0.84137,                0.53767,                 1.3225,                 0.6155,                 0.9586,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.4704,                0.54209,                0.95198,                0.99094,                0.72222,                0.83108,                0.53768,                 1.2992,                0.63718,                0.95239,              0.0007328,              0.0007328,              0.0007328
                     67,                  1.356,                0.58007,                0.94349,                0.99048,                0.72222,                0.83138,                0.53375,                 1.3005,                0.66666,                0.95338,               0.000713,               0.000713,               0.000713
                     68,                 1.3202,                0.55542,                0.96942,                      1,                0.77193,                0.83555,                0.51913,                 1.3277,                0.72595,                0.96716,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2374,                  0.558,                0.94307,                      1,                0.77209,                0.78775,                0.49548,                 1.3524,                 0.6982,                0.98197,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.2253,                0.55185,                0.92103,                0.99248,                0.72222,                0.73962,                0.45754,                 1.5138,                0.63757,                 1.0084,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.3523,                0.56702,                0.94395,                0.99284,                0.72222,                0.73938,                0.43954,                 1.5111,                0.67049,                 1.0125,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.2641,                0.53271,                0.91711,                0.99285,                0.72222,                 0.7408,                0.43403,                 1.4462,                 0.7002,                0.99334,               0.000614,               0.000614,               0.000614
                     73,                 1.3585,                0.54865,                 0.9475,                0.99207,                0.72222,                0.78298,                0.44101,                 1.3855,                0.70869,                0.97791,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.2279,                0.52133,                0.94352,                0.99155,                0.72222,                 0.8222,                0.48814,                 1.3192,                0.73268,                0.96011,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2001,                0.50519,                0.91676,                0.99161,                0.72222,                0.81358,                 0.4988,                 1.3335,                0.72632,                0.95716,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.2495,                0.52802,                0.92218,                0.99123,                0.72222,                0.77427,                0.48469,                 1.3064,                 0.6905,                0.95924,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2096,                0.51236,                0.91943,                0.99047,                0.72222,                0.74402,                0.49372,                  1.273,                0.69149,                0.95936,               0.000515,               0.000515,               0.000515
                     78,                 1.1886,                0.51863,                0.93255,                0.98869,                0.72222,                0.77185,                0.50905,                 1.2273,                0.71091,                0.95643,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.2743,                0.52568,                0.94613,                0.99247,                0.72222,                0.74828,                 0.5024,                 1.2332,                0.70718,                0.96046,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2988,                  0.526,                0.92436,                0.99127,                0.72222,                0.77464,                0.53675,                 1.2485,                0.69803,                0.97107,              0.0004556,              0.0004556,              0.0004556
